Veiculo,Momento_Chegada,Tempo_Fila_min,Tempo_Atendimento_min,Momento_Saida
Caminhão 001,0.0,0.0,4.37,4.37
Caminhão 002,2.01,0.0,3.66,5.67
Caminhão 004,6.49,0.0,3.08,9.57
Caminhão 003,4.88,0.0,4.92,9.79
Caminhão 006,10.08,0.0,3.53,13.61
Caminhão 005,8.99,0.58,5.81,15.38
Caminhão 007,17.83,0.0,4.93,22.76
Caminhão 008,23.6,0.0,3.04,26.64
Caminhão 009,25.05,0.0,3.67,28.72
Caminhão 010,29.01,0.0,3.86,32.87
Caminhão 011,30.04,0.0,4.34,34.38
Caminhão 012,43.34,0.0,5.82,49.16
Caminhão 013,50.01,0.0,5.32,55.33
Caminhão 014,51.48,0.0,4.16,55.64
Caminhão 015,52.61,2.72,5.58,60.91
Caminhão 016,59.13,0.0,5.17,64.29
Caminhão 017,61.7,0.0,5.92,67.62
Caminhão 018,69.13,0.0,3.2,72.34
Caminhão 019,73.33,0.0,4.41,77.74
Caminhão 020,75.53,0.0,4.18,79.71
Caminhão 021,80.41,0.0,5.49,85.89
Caminhão 022,82.65,0.0,5.29,87.94
Caminhão 023,91.06,0.0,3.72,94.79
Caminhão 025,97.22,0.0,3.12,100.35
Caminhão 024,96.29,0.0,4.86,101.16
Caminhão 026,99.62,0.73,4.73,105.08
Caminhão 027,102.83,0.0,4.8,107.63
Caminhão 028,113.24,0.0,3.26,116.5
Caminhão 029,114.47,0.0,5.13,119.6
Caminhão 030,118.11,0.0,5.95,124.06
Caminhão 031,122.19,0.0,5.86,128.05
Caminhão 032,127.58,0.0,5.75,133.34
Caminhão 033,128.88,0.0,5.73,134.61
Caminhão 034,131.45,1.89,4.93,138.27
Caminhão 035,142.52,0.0,4.73,147.25
Caminhão 036,148.43,0.0,3.66,152.08
Caminhão 037,149.92,0.0,5.96,155.88
Caminhão 038,153.61,0.0,3.61,157.22
Caminhão 039,155.42,0.46,4.1,159.98
Caminhão 040,156.08,1.15,5.32,162.55
Caminhão 041,158.79,1.19,5.31,165.29
Caminhão 042,171.98,0.0,5.84,177.82
Caminhão 044,180.31,0.0,4.14,184.44
Caminhão 043,180.24,0.0,5.62,185.87
Caminhão 045,180.57,3.88,4.24,188.68
Caminhão 046,186.04,0.0,5.08,191.12
Caminhão 047,187.04,1.64,4.66,193.35
Caminhão 048,189.18,1.93,5.34,196.45
Caminhão 049,191.34,2.01,4.91,198.26
Caminhão 050,195.28,1.18,4.97,201.42
Caminhão 051,201.18,0.0,3.16,204.34
Caminhão 052,202.61,0.0,3.97,206.58
Caminhão 053,203.54,0.8,3.78,208.12
Caminhão 054,203.93,2.65,5.09,211.67
Caminhão 055,209.07,0.0,4.35,213.42
Caminhão 056,215.82,0.0,4.15,219.97
Caminhão 057,217.13,0.0,3.84,220.96
Caminhão 058,220.16,0.0,3.8,223.96
Caminhão 060,224.04,0.0,4.71,228.74
Caminhão 059,223.41,0.0,5.86,229.27
Caminhão 061,226.26,2.48,4.44,233.18
Caminhão 062,228.03,1.24,4.1,233.37
Caminhão 063,233.27,0.0,3.79,237.07
Caminhão 064,233.47,0.0,4.93,238.41
Caminhão 065,234.36,2.71,5.32,242.39
Caminhão 066,237.56,0.85,5.64,244.05
Caminhão 067,243.91,0.0,4.16,248.07
Caminhão 068,245.26,0.0,5.15,250.41
Caminhão 069,245.29,2.78,4.12,252.19
Caminhão 070,250.38,0.03,5.14,255.56
Caminhão 071,266.1,0.0,3.67,269.77
Caminhão 072,271.03,0.0,4.98,276.01
Caminhão 073,271.74,0.0,4.5,276.25
Caminhão 075,276.9,0.0,3.4,280.3
Caminhão 074,276.43,0.0,5.24,281.67
Caminhão 076,277.81,2.49,3.79,284.09
Caminhão 077,278.61,3.06,4.59,286.26
Caminhão 078,290.16,0.0,5.1,295.26
Caminhão 079,290.88,0.0,5.53,296.42
Caminhão 080,291.03,4.23,3.24,298.5
Caminhão 081,291.62,4.8,5.86,302.28
Caminhão 082,301.95,0.0,3.44,305.39
Caminhão 083,304.14,0.0,4.44,308.58
Caminhão 084,307.32,0.0,4.66,311.98
Caminhão 085,309.78,0.0,4.74,314.52
Caminhão 086,312.45,0.0,4.82,317.27
Caminhão 087,313.05,1.47,5.09,319.61
Caminhão 088,315.68,1.59,4.69,321.96
Caminhão 090,329.03,0.0,3.5,332.53
Caminhão 089,327.23,0.0,5.59,332.82
Caminhão 092,329.38,3.44,4.13,336.95
Caminhão 091,329.35,3.18,5.2,337.72
Caminhão 094,330.13,7.6,3.2,340.93
Caminhão 093,329.5,7.45,4.88,341.83
Caminhão 095,332.17,8.76,4.88,345.81
Caminhão 096,338.6,3.23,4.81,346.64
Caminhão 098,341.08,5.56,4.32,350.96
Caminhão 097,338.74,7.06,5.6,351.41
Caminhão 099,341.29,9.67,5.75,356.72
Caminhão 100,341.49,9.92,5.97,357.38
Caminhão 101,348.02,8.7,5.35,362.07
Caminhão 102,352.2,5.18,5.05,362.43
Caminhão 103,352.24,9.82,3.31,365.38
Caminhão 104,352.62,9.81,4.57,367.01
Caminhão 105,356.26,9.12,4.51,369.89
Caminhão 106,356.69,10.32,5.55,372.56
Caminhão 107,356.89,13.0,3.56,373.45
Caminhão 108,359.21,13.35,3.74,376.3
Caminhão 109,371.98,1.47,3.82,377.27
Caminhão 110,379.46,0.0,3.22,382.68
Caminhão 111,381.34,0.0,5.63,386.97
Caminhão 112,394.82,0.0,3.68,398.5
Caminhão 113,398.43,0.0,3.85,402.28
Caminhão 114,406.03,0.0,5.61,411.64
Caminhão 115,409.33,0.0,5.68,415.02
Caminhão 116,413.97,0.0,3.52,417.5
Caminhão 117,414.68,0.34,5.46,420.48
Caminhão 118,417.1,0.4,4.3,421.8
Caminhão 119,419.6,0.88,3.74,424.22
Caminhão 120,421.61,0.19,3.64,425.43
Caminhão 121,424.87,0.0,4.36,429.23
Caminhão 122,425.23,0.21,5.79,431.22
Caminhão 123,430.84,0.0,3.64,434.48
Caminhão 124,431.66,0.0,4.96,436.62
Caminhão 125,432.28,2.2,4.17,438.64
Caminhão 126,433.96,2.66,3.4,440.02
